ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,q_prev_0,q_prev_1,q_prev_2,q_prev_3,q_prev_4,q_prev_5,q_prev_6,q_curr_0,q_curr_1,q_curr_2,q_curr_3,q_curr_4,q_curr_5,q_curr_6
0.016208,-0.088160,1.169983,-0.464498,0.397509,-0.141153,0.778656,0.047859,-0.213988,-1.042880,-0.330887,1.765498,1.433977,-1.411674,0.055765,-0.175099,-1.002530,-0.411881,1.653134,1.484064,-1.352288
-0.079009,-0.067848,1.171118,-0.485067,0.329117,-0.174643,0.791133,0.055765,-0.175099,-1.002530,-0.411881,1.653134,1.484064,-1.352288,0.004734,-0.268091,-0.997578,-0.365339,1.743014,1.509879,-1.370874
-0.076973,-0.075013,1.161621,-0.500287,0.345941,-0.117845,0.784952,0.004734,-0.268091,-0.997578,-0.365339,1.743014,1.509879,-1.370874,-0.039923,-0.267518,-1.012542,-0.416092,1.845452,1.599137,-1.314072
-0.051768,-0.058799,1.165010,-0.522926,0.353460,-0.086566,0.770793,-0.039923,-0.267518,-1.012542,-0.416092,1.845452,1.599137,-1.314072,-0.085965,-0.224767,-0.980560,-0.393965,1.907935,1.630906,-1.277071
-0.042000,-0.074187,1.169232,-0.463310,0.393342,-0.083106,0.789759,-0.085965,-0.224767,-0.980560,-0.393965,1.907935,1.630906,-1.277071,-0.054120,-0.207728,-1.069741,-0.389784,1.880126,1.566914,-1.192980
0.005982,-0.051697,1.175303,-0.519150,0.371213,-0.071369,0.766545,-0.054120,-0.207728,-1.069741,-0.389784,1.880126,1.566914,-1.192980,0.032330,-0.139767,-1.056980,-0.322253,1.880728,1.577054,-1.247654
0.006597,-0.058431,1.167487,-0.527886,0.412333,-0.060430,0.740045,0.032330,-0.139767,-1.056980,-0.322253,1.880728,1.577054,-1.247654,0.052179,-0.136748,-1.122113,-0.324813,1.876742,1.666932,-1.202943
0.021927,-0.064024,1.166127,-0.522073,0.426268,-0.082658,0.734100,0.052179,-0.136748,-1.122113,-0.324813,1.876742,1.666932,-1.202943,0.052752,-0.124308,-1.119902,-0.334958,1.822620,1.659379,-1.240248
0.055180,-0.092100,1.151769,-0.491934,0.484934,-0.036976,0.722131,0.052752,-0.124308,-1.119902,-0.334958,1.822620,1.659379,-1.240248,-0.009764,-0.098747,-1.100339,-0.424294,1.816486,1.709164,-1.187287
0.065926,-0.110718,1.142973,-0.470129,0.503461,0.017615,0.724704,-0.009764,-0.098747,-1.100339,-0.424294,1.816486,1.709164,-1.187287,0.041528,-0.096801,-1.142591,-0.478479,1.833716,1.728128,-1.122920
0.062696,-0.121085,1.141327,-0.466972,0.492721,0.012036,0.734179,0.041528,-0.096801,-1.142591,-0.478479,1.833716,1.728128,-1.122920,0.096527,-0.103413,-1.204801,-0.494434,1.844578,1.718024,-1.151815
